TrialNumber;Set;Type;Condition;Question;Responsebutton;CorrectAnswer
47;Language;Reversal;Practice;lr_eg1.wav;yes-no;
48;Language;Reversal;Practice;lr_eg2.wav;yes-no;
49;Language;Reversal;Practice;lr_eg3.wav;yes-no;
50;Language;Reversal;Test;;yes-no;
51;Language;Reversal;Test;;yes-no;
52;Language;Reversal;Test;;yes-no;
53;Language;Reversal;Test;;yes-no;
54;Language;Reversal;Test;;yes-no;
55;Language;Reversal;Test;;yes-no;
56;Language;Reversal;Test;;yes-no;
57;Language;Reversal;Test;;yes-no;
58;Language;Reversal;Test;;yes-no;
59;Language;Reversal;Test;;yes-no;
60;Language;Reversal;Test;;yes-no;
61;Language;Reversal;Test;;yes-no;
62;Language;Reversal;Test;;yes-no;
63;Language;Reversal;Test;;yes-no;
64;Language;Reversal;Test;;yes-no;
65;Language;Reversal;Test;;yes-no;
66;Language;Reversal;Test;;yes-no;
67;Language;Reversal;Test;;yes-no;
68;Language;Reversal;Test;lr_19.wav;yes-no;
69;Language;Reversal;Test;lr_20.wav;yes-no;
70;Music;Deletion;Practice;md_eg1.wav;yes-no;
71;Music;Deletion;Practice;md_eg2.wav;yes-no;
72;Music;Deletion;Practice;md_eg3.wav;yes-no;
73;Music;Deletion;Test;;yes-no;
74;Music;Deletion;Test;;yes-no;
75;Music;Deletion;Test;;yes-no;
76;Music;Deletion;Test;;yes-no;
77;Music;Deletion;Test;;yes-no;
78;Music;Deletion;Test;;yes-no;
79;Music;Deletion;Test;;yes-no;
80;Music;Deletion;Test;;yes-no;
81;Music;Deletion;Test;;yes-no;
82;Music;Deletion;Test;;yes-no;
83;Music;Deletion;Test;;yes-no;
84;Music;Deletion;Test;;yes-no;
85;Music;Deletion;Test;;yes-no;
86;Music;Deletion;Test;;yes-no;
87;Music;Deletion;Test;;yes-no;
88;Music;Deletion;Test;;yes-no;
89;Music;Deletion;Test;;yes-no;
90;Music;Deletion;Test;;yes-no;
91;Music;Deletion;Test;md_19.wav;yes-no;
92;Music;Deletion;Test;md_20.wav;yes-no;
93;Music;Addition;Practice;ma_eg1.wav;yes-no;
94;Music;Addition;Practice;ma_eg2.wav;yes-no;
95;Music;Addition;Practice;ma_eg3.wav;yes-no;
96;Music;Addition;Test;ma_1.wav;yes-no;
97;Music;Addition;Test;ma_2.wav;yes-no;
98;Music;Addition;Test;;yes-no;
99;Music;Addition;Test;;yes-no;
100;Music;Addition;Test;;yes-no;
101;Music;Addition;Test;;yes-no;
102;Music;Addition;Test;;yes-no;
103;Music;Addition;Test;;yes-no;
104;Music;Addition;Test;;yes-no;
105;Music;Addition;Test;;yes-no;
106;Music;Addition;Test;;yes-no;
107;Music;Addition;Test;;yes-no;
108;Music;Addition;Test;;yes-no;
109;Music;Addition;Test;;yes-no;
110;Music;Addition;Test;;yes-no;
111;Music;Addition;Test;;yes-no;
112;Music;Addition;Test;;yes-no;
113;Music;Addition;Test;;yes-no;
114;Music;Addition;Test;;yes-no;
115;Music;Addition;Test;ma_20.wav;yes-no;
116;Music;Reversal;Practice;mr_eg1.wav;yes-no;
117;Music;Reversal;Practice;mr_eg2.wav;yes-no;
118;Music;Reversal;Practice;mr_eg3.wav;yes-no;
119;Music;Reversal;Test;;yes-no;
120;Music;Reversal;Test;;yes-no;
121;Music;Reversal;Test;;yes-no;
122;Music;Reversal;Test;;yes-no;
123;Music;Reversal;Test;;yes-no;
124;Music;Reversal;Test;;yes-no;
125;Music;Reversal;Test;;yes-no;
126;Music;Reversal;Test;;yes-no;
127;Music;Reversal;Test;;yes-no;
128;Music;Reversal;Test;;yes-no;
129;Music;Reversal;Test;;yes-no;
130;Music;Reversal;Test;;yes-no;
131;Music;Reversal;Test;;yes-no;
132;Music;Reversal;Test;;yes-no;
133;Music;Reversal;Test;;yes-no;
134;Music;Reversal;Test;;yes-no;
135;Music;Reversal;Test;;yes-no;
136;Music;Reversal;Test;;yes-no;
137;Music;Reversal;Test;mr_19.wav;yes-no;
138;Music;Reversal;Test;mr_20.wav;yes-no;

